Id,SalePrice
1461,105388.3
1462,149075.0
1463,166800.0
1464,179200.0
1465,215590.0
1466,176930.0
1467,174330.0
1468,177260.0
1469,180290.0
1470,122206.0
1471,195965.0
1472,87230.0
1473,96900.0
1474,152850.0
1475,135680.0
1476,383772.6
1477,268711.6
1478,332359.2
1479,238906.3
1480,508532.5
1481,312077.2
1482,217550.0
1483,180154.4
1484,174806.1
1485,162200.0
1486,217450.0
1487,354979.1
1488,247350.0
1489,210792.7
1490,200590.0
1491,183500.0
1492,108588.0
1493,168050.0
1494,318800.0
1495,330500.0
1496,209950.0
1497,214350.0
1498,151400.0
1499,152400.0
1500,154905.775
1501,181050.0
1502,153062.13333333333
1503,274301.8
1504,238019.1
1505,211000.0
1506,187505.0
1507,228050.0
1508,192240.0
1509,158840.0
1510,150840.0
1511,146075.0
1512,177505.0
1513,165085.3
1514,187530.0
1515,182550.0
1516,157950.0
1517,148150.0
1518,140800.0
1519,235226.0
1520,143195.0
1521,146800.0
1522,166200.0
1523,110600.0
1524,129750.0
1525,110825.0
1526,128700.0
1527,102470.0
1528,134960.0
1529,139400.0
1530,162230.3
1531,142571.9
1532,96250.0
1533,161785.0
1534,123590.0
1535,137163.4
1536,104196.0
1537,85680.0
1538,179554.0
1539,215763.0
1540,136545.3
1541,159575.0
1542,144743.4
1543,243742.5
1544,95350.0
1545,101680.0
1546,133430.0
1547,133775.0
1548,130517.5
1549,99139.3
1550,136630.0
1551,113500.0
1552,134770.0
1553,161590.0
1554,117590.4
1555,141660.0
1556,125570.0
1557,125840.0
1558,91790.0
1559,136780.0
1560,117990.0
1561,196985.0
1562,132790.0
1563,128890.0
1564,162290.0
1565,148583.4
1566,190385.0
1567,80610.0
1568,201450.0
1569,151555.0
1570,140380.0
1571,110554.7
1572,134200.0
1573,213550.0
1574,169925.0
1575,217549.0
1576,201550.0
1577,210202.7
1578,138960.0
1579,142550.0
1580,187450.0
1581,141050.0
1582,116450.0
1583,332821.7
1584,235430.0
1585,139050.0
1586,57684.4
1587,99590.0
1588,140135.0
1589,118040.0
1590,138175.0
1591,99195.0
1592,121528.0
1593,121530.0
1594,188192.3
1595,140788.7
1596,238640.0
